Products with Zero (£0.00) or No Price
Generated: 2025-10-06 11:46:36
================================================================================

SUMMARY:
Total Parts in database: 5824
Total PricingData records: 5339
Products with £0.00 price: 0
Products with NULL/missing price: 0
Parts with no pricing data: 485
Total problematic records: 485
Unique problematic parts: 309
Duplicate records: 176

PARTS WITH NO PRICING DATA - 309 parts:
Part Number          Description                                       
C00511493            GATEWAY ASSEMBLY                                  
C00517538            HARNESS ASSEMBLY-ENGINE                           
C00521629            REFRIGERANT-AIR CONDITIONING                      
C00532115            CASING ASSEMBLY-REAR AXLE                         
C00539863            OIL-ENGINE                                        
C00539866            OIL-ENGINE                                        
C00539867            OIL-ENGINE                                        
C00543551-bla        CON-ROD BEARING UPPER SHELL(RED)                  
C00543551-blu        CON-ROD BEARING UPPER SHELL(RED)                  
C00543551-gre        CON-ROD BEARING UPPER SHELL(RED)                  
C00559196            BOLT-DRIVE GEAR                                   
C00559199            BOLT-WHEEL                                        
C00559202            BOLT-AXLE SHAFT                                   
C00559204            BOLT-MAIN REDUCER ASSEMBLY TO AXLE HOUSING AS...  
C00559206            LOCK-NUT PINION                                   
C00561909            CRANKSHAFT ASSEMBLY                               
C00563731            PLUG-OUTLET OIL                                   
C00570061            HIGH PRESSURE FUEL LINE-INJECTOR                  
C00570065            HIGH PRESSURE FUEL LINE-INJECTOR                  
C00585980            HOSE ASSEMBLY-FUEL RETURN                         
C00587973            PLUG-FUEL FITTING                                 
C00637484            BELT TENSIONER GATES-ENGINE                       
C00638735            HOUSING ASSEMBLY-REDUCER                          
C00638736            COVER-DIFFERENTIAL                                
C00642739            PUMP-HIGH PRESSURE                                
C00671897            INLET PIPE-INTERCOOLER AIR                        
C00671899            INLET PIPE-INTERCOOLER AIR                        
C00678886            CYLINDER BLOCK MACHINED ASSEMBLY                  
C00678889            ASSEMBLY-CYLINDER BLOCK                           
C00679772            CAP-OIL GALLERY                                   
C00690364            GUIDE-ENGINE OIL LEVEL GAUGE                      
C00693370            OIL-REAR AXLE ASSEMBLY                            
C00697790            MODULE ASSEMBLY-OIL FILTER COOLER                 
C00697791            MODULE ASSEMBLY-OIL FILTER COOLER                 
C00704930            COVER-HP RAIL INSULATION                          
C00704931            COVER-CAM COVER INSULATION                        
C00704932            COVER-CLAMP INJECTOR INSULATION                   
C00729579            PINION-DIFFERENTIAL                               
C00731552            RELEASE-MANUAL TRANSMISSION RANGE OPERATOR        
C00744243            SHAFT-TRANSMISSION SHIFT SELECT                   
C00752821            VALVE OIL PUMP FLOW CONTROL SOLENOID              
C00753905            GEAR ASSY-COUNTER SHAFT                           
C00757042            HARNESS ASSEMBLY-ENGINE                           
C00888852            SECTION-UREA PUMP                                 

================================================================================
End of report - 2025-10-06 11:46:36
